,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(prop),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(prop),Final U/Th_mean,Approx_U_PPM_mean,Approx_Th_PPM_mean,Approx_Pb_PPM_mean,,Si29_ppm_mean,Si29_ppm_2SE(int),Ti49_ppm_mean,Ti49_ppm_2SE(int),Zr90_ppm_mean,Zr90_ppm_2SE(int),Zr91_ppm_mean,Zr91_ppm_2SE(int),La139_ppm_mean,La139_ppm_2SE(int),Ce140_ppm_mean,Ce140_ppm_2SE(int),Pr141_ppm_mean,Pr141_ppm_2SE(int),Nd146_ppm_mean,Nd146_ppm_2SE(int),Sm147_ppm_mean,Sm147_ppm_2SE(int),Eu153_ppm_mean,Eu153_ppm_2SE(int),Gd157_ppm_mean,Gd157_ppm_2SE(int),Dy163_ppm_mean,Dy163_ppm_2SE(int),Yb172_ppm_mean,Yb172_ppm_2SE(int),Lu175_ppm_mean,Lu175_ppm_2SE(int),Pb204_ppm_mean,Pb204_ppm_2SE(int),Pb206_ppm_mean,Pb206_ppm_2SE(int),Pb207_ppm_mean,Pb207_ppm_2SE(int),Pb208_ppm_mean,Pb208_ppm_2SE(int),Th232_ppm_mean,Th232_ppm_2SE(int),U238_ppm_mean,U238_ppm_2SE(int)
093 - 1.d,0.115026152,0.000952012,1878.654903,14.95718359,3.595682428,0.037703236,8.581675349,1054.471786,120.367406,710.2300059,,0,0,7,3,480000,0,479356,2517,13,1,134,16,21,3,107,14,31,6,0,0,45,6,56,5,126,5,30,1,30,51,316,5,604,11,1007,38,143,2,1238,26
093 - 2.d,0.057296374,0.000996607,496.9378939,38.23011818,11.62372245,0.074057202,5.47688069,1837.811756,332.9640434,646.7420464,,0,0,39,11,480000,0,479928,2399,0,0,2,0,0,0,0,0,1,1,0,0,8,2,33,2,104,3,21,1,55,57,177,4,168,5,940,29,403,5,2231,26
093 - 3.d,0.058720322,0.00134611,552.388021,50.47082604,11.05425705,0.138219793,6.527858373,1982.857359,299.6450525,649.9501772,,0,0,13,8,480000,0,476387,4817,0,0,3,1,0,0,3,1,2,1,0,0,9,3,29,5,94,11,18,2,-7,70,230,7,225,10,1044,79,406,19,2660,63
093 - 4.d,0.05821879,0.00080746,533.8094845,30.63341713,11.22848122,0.126608482,6.433955249,2586.010234,394.4345358,806.966628,,0,0,11,4,480000,0,479729,2530,0,0,1,0,0,0,1,0,1,0,0,0,5,1,30,2,115,6,25,1,5,44,228,3,220,4,1047,35,428,11,2788,79
093 - 5.d,0.11687103,0.006572981,1898.17603,100.1703683,7.275655178,0.529440328,13.91690032,1895.034383,134.0789893,2247.784186,,0,0,64,8,480000,0,480380,3425,4,0,36,3,4,1,16,3,4,1,6,1,11,2,85,4,1061,30,266,6,1164,482,362,34,781,154,4577,1517,201,6,2815,59
093 - 6.d,0.08126329,0.00113363,1225.596313,27.26734391,8.63622072,0.146882828,8.04534882,1758.874938,216.2139959,690.6404284,,0,0,14,7,480000,0,478677,3409,0,0,3,1,0,0,2,1,1,1,0,0,4,2,19,2,71,5,15,2,7,71,262,5,354,9,1103,123,294,5,2388,24
093 - 7.d,0.069053262,0.001766877,895.6504583,54.94646681,9.395697486,0.184413282,7.412040543,1350.272264,179.7296327,421.0742998,,0,0,28,20,480000,0,478875,3630,0,0,1,0,0,0,1,1,1,1,0,0,3,2,18,4,58,5,13,1,11,80,198,6,227,9,726,59,261,10,1975,36
093 - 8.d,0.114513462,0.000710837,1870.953398,11.2251395,3.452676501,0.057607747,14.98352066,2004.962775,138.7932959,1046.865602,,0,0,11,4,480000,0,481276,2942,0,0,2,0,0,0,0,0,0,0,0,0,3,1,13,2,116,9,29,2,35,39,625,58,1193,114,1496,252,164,22,2262,144
093 - 9.d,0.074053269,0.001934009,1040.672839,52.48348035,8.53624122,0.125374113,5.621543173,2238.394155,392.0507261,940.8865031,,0,0,15,9,480000,0,485068,6718,0,0,7,1,1,1,6,5,4,2,1,1,14,7,40,5,143,18,31,2,7,91,234,7,288,15,1132,99,396,16,2256,92
093 - 10.d,0.056740537,0.000704109,478.7714067,27.37098374,12.27677177,0.09371945,5.38665586,4942.640351,904.234667,1815.154729,,0,0,7,4,480000,0,477718,2976,0,0,2,0,0,0,1,1,2,1,0,0,14,3,63,4,212,7,44,2,65,68,482,3,454,6,2763,76,1157,12,6313,55
093 - 11.d,0.057671158,0.000649617,514.1653369,25.03048328,11.63178871,0.134346379,6.382115178,3200.217309,489.1956185,986.3120076,,0,0,14,4,480000,0,481062,1892,0,0,2,0,0,0,3,1,2,1,0,0,10,2,37,2,146,6,30,1,17,53,292,11,280,12,1367,66,572,21,3712,167
093 - 12.d,0.113404122,0.00080476,1853.440445,12.79144812,3.652485545,0.024390336,15.37022347,1405.239845,90.12697113,786.5273673,,0,0,10,5,480000,0,480060,2402,0,0,2,0,0,0,1,0,0,0,0,0,3,1,18,2,118,4,28,2,20,73,454,6,853,12,1189,52,115,3,1779,20
